region,state,district,year,rainfall_mm,groundwater_level_m,water_extraction_mcm,water_recharge_mcm,population,water_demand_mld,water_supply_mld,scarcity_index
North,Uttar Pradesh,District_82,2012,1287.38,16.4,96.74,117.68,819491,162.92,181.83,-0.1153
North,Uttarakhand,District_100,2010,1518.25,26.81,317.88,268.71,2593189,414.71,372.13,0.1024
North,Uttarakhand,District_26,2015,935.11,22.43,118.06,82.68,267988,30.28,13.21,0.5458
East,West Bengal,District_53,2010,976.36,27.9,85.59,82.73,697932,85.95,48.4,0.4319
North,Punjab,District_129,2021,1327.37,45.51,298.36,298.33,2172269,257.3,276.1,-0.0728
East,Odisha,District_43,2019,1317.72,42.7,193.43,175.87,717240,69.15,31.47,0.5372
South,Andhra Pradesh,District_94,2013,731.03,12.99,115.38,103.86,2748197,130.34,86.86,0.3311
West,Rajasthan,District_128,2020,819.34,46.82,116.56,79.06,21586,2,-22.83,8.2741
East,Bihar,District_138,2006,600.1,39.44,339.32,329.44,2596867,434.51,444.12,-0.0221
South,Andhra Pradesh,District_68,2001,950.35,4.26,99.36,114.1,2194000,376.32,399.65,-0.0618
South,Andhra Pradesh,District_147,2012,1033.23,18.83,324.3,309.77,1610489,341.86,353.54,-0.0341
South,Karnataka,District_24,2022,974.77,37.55,281.83,271.31,554439,110.12,83.9,0.236
North,Uttarakhand,District_25,2018,1034.17,38.36,249.15,238.59,2407272,471.95,454.94,0.036
East,Odisha,District_70,2002,784.21,15.34,205.6,188.61,2384612,153.43,159.82,-0.0414
North,Uttarakhand,District_136,2015,923.1,17.36,263.11,284.01,1639611,290.18,306.21,-0.055
East,Jharkhand,District_54,2011,1162.76,37.91,114.79,132.18,684419,64.2,38.99,0.3866
East,Bihar,District_78,2016,1241.73,28.29,154.32,177.15,176468,7.43,-15.01,2.6627
South,Andhra Pradesh,District_111,2021,640.71,28.25,89.7,68.28,445703,68.59,36.04,0.4678
Central,Chhattisgarh,District_81,2006,555.08,10.21,329.95,317.5,342282,59.89,39.61,0.3331
East,Jharkhand,District_103,2008,634.39,24.28,272.56,295.06,377486,40.72,54.23,-0.3236
North,Himachal Pradesh,District_132,2014,657.39,31.19,240.97,235.84,1225822,156.26,174.11,-0.1135
Central,Chhattisgarh,District_47,2000,1020.87,9.33,165.51,187.48,661520,64.96,62.01,0.0447
North,Haryana,District_48,2018,1037.39,17.55,149.91,120.12,2144955,271.56,239.52,0.1175
North,Punjab,District_55,2021,974.51,40.56,201.54,201.03,1396219,285.36,313.13,-0.097
East,Assam,District_69,2020,970.74,19.67,124.9,89.68,1153270,115.86,126.31,-0.0894
Central,Chhattisgarh,District_112,2018,1051.9,42.28,280.16,262.26,817735,112.47,79.25,0.2927
West,Maharashtra,District_134,2006,1252.45,27.19,70.44,98.06,162712,22.33,6.49,0.6791
South,Telangana,District_119,2004,875.92,49.58,192.09,153.94,2161000,383.14,404.1,-0.0546
South,Karnataka,District_39,2023,974.07,38.61,187.52,149.08,2805060,201.28,177.16,0.1193
South,Andhra Pradesh,District_112,2013,683.38,7.43,91.45,63.5,503124,44.94,19.35,0.5571
East,Odisha,District_17,2020,962.61,46.27,68.34,98.34,1661062,220.58,215.75,0.0218
West,Rajasthan,District_106,2008,1187.64,17.88,135.22,105.75,1683416,202.59,181.69,0.1026
South,Andhra Pradesh,District_42,2008,818.79,42.91,215.37,218.49,67810,6.9,-24.35,3.9549
North,Himachal Pradesh,District_61,2012,888.11,41.59,262.91,215.52,2427215,515,471.24,0.0848
South,Karnataka,District_30,2004,1041.91,11.7,103.1,104.87,757068,155.89,116.44,0.2515
West,Rajasthan,District_8,2007,864.26,26.17,305.78,266.83,2599529,538.29,530.78,0.0139
South,Andhra Pradesh,District_119,2015,848.41,44.67,191.68,199.5,1721358,309.69,304.51,0.0167
Central,Chhattisgarh,District_112,2013,935.68,37.71,149.72,134.77,2036694,82.91,85.59,-0.032
West,Maharashtra,District_52,2005,921.31,10.09,279.63,305.58,3238680,684.69,668.75,0.0232
West,Gujarat,District_35,2000,1334.28,8.08,323,305.76,2844103,129.83,136.18,-0.0486
West,Gujarat,District_72,2021,936.24,14.84,335.38,350.56,102941,10.38,-12.17,1.9813
Central,Chhattisgarh,District_46,2020,986.65,39.65,277.24,261.5,2848741,155.75,123.51,0.2057
West,Maharashtra,District_125,2000,1213.99,23.66,311.11,333.96,2177417,272.45,288.01,-0.0569
West,Maharashtra,District_22,2010,974.27,44.54,248.74,267.21,1415736,116.59,135.21,-0.1584
North,Himachal Pradesh,District_77,2002,777.84,20.68,316.15,338.83,74092,4.15,-1.12,1.0229
East,Jharkhand,District_94,2021,730.61,15.26,247.13,272.73,3154353,365.96,376.96,-0.03
East,Bihar,District_102,2023,686.03,41.28,345.89,355.38,2023021,158.56,185.72,-0.1702
Central,Madhya Pradesh,District_61,2003,1661.87,45.06,315.81,311.83,3134715,273.1,293.65,-0.075
North,Uttarakhand,District_129,2003,782.42,12.76,90.78,44.47,1056095,138.19,133.95,0.0305
North,Haryana,District_149,2016,1040.76,24.07,167.49,176.33,360961,56.19,19.44,0.6426
West,Gujarat,District_128,2002,616.49,27.7,140.41,100.01,1978659,317.46,328.06,-0.0333
South,Karnataka,District_32,2010,773.28,39.1,79.25,94.2,984242,153.98,118.76,0.2273
East,Odisha,District_150,2023,726.86,39.24,242.73,194.15,572331,50.85,26.01,0.4791
South,Kerala,District_61,2013,581.11,30.59,290.19,317.52,2202186,188.02,146.93,0.2174
West,Rajasthan,District_37,2003,1117.38,27.83,69.68,67.41,2126169,142.33,116.4,0.1809
South,Tamil Nadu,District_55,2008,739.3,40.06,87.06,82.06,2602493,292.77,308.52,-0.0536
East,Assam,District_105,2008,709.52,39.09,201.81,207.01,2353760,138.63,94.33,0.3173
North,Uttarakhand,District_15,2015,759.54,2.24,178.47,158.09,650665,50.71,22.8,0.5397
Central,Chhattisgarh,District_96,2022,831.62,10.49,133.59,155.54,1287149,73.06,80.1,-0.0951
East,West Bengal,District_82,2017,850.48,28.03,147.18,123.8,2391219,281.5,254.4,0.0959
East,Jharkhand,District_122,2021,0,41.43,254.84,245.53,198761,40.93,34.89,0.144
South,Karnataka,District_72,2004,889.99,41.39,286.22,275.15,3217220,378.15,359.03,0.0504
South,Telangana,District_122,2022,820.44,9.63,273.8,248.61,505226,64.9,68.32,-0.0518
South,Telangana,District_79,2000,893.79,49.75,192.56,217.12,2230944,107.97,119.18,-0.1029
North,Himachal Pradesh,District_9,2023,1283.22,18.98,274.45,264.91,1413518,264.39,252.73,0.0439
West,Maharashtra,District_62,2008,901.97,20.99,145.97,114.27,383590,65.12,27.32,0.5718
Central,Chhattisgarh,District_99,2009,850.61,3.62,189.78,165.44,1893360,231.27,261.25,-0.1291
South,Telangana,District_32,2017,1126.88,11.56,245.54,223.99,864277,112.44,69.63,0.3774
South,Karnataka,District_114,2012,903.46,8.22,319.84,294.54,904109,120.66,140.57,-0.1637
North,Uttar Pradesh,District_101,2008,720,44.31,159.54,121.04,2095871,328.92,344.57,-0.0474
South,Andhra Pradesh,District_24,2007,906.89,21.77,109.39,137.62,3394827,463.55,457.44,0.0132
South,Andhra Pradesh,District_54,2005,436.89,34.89,264.24,265.6,1349526,116.3,77.6,0.33
East,Assam,District_82,2020,902.75,26,254.15,261.67,2134626,401.39,422.15,-0.0516
East,Jharkhand,District_9,2008,1317.28,33.3,309.5,328.28,1098404,68.57,62.56,0.0865
East,Bihar,District_126,2015,574.39,6.08,66.57,22.76,843444,139.12,104.24,0.249
East,Jharkhand,District_86,2022,1053.94,42.67,173.33,159.11,2321978,128.32,93.92,0.266
East,Jharkhand,District_26,2005,1216.64,9.53,310.72,315.81,2639124,169.87,189.15,-0.1129
West,Gujarat,District_130,2002,1129.59,20.15,82.45,111.48,320005,16.5,0.91,0.8911
South,Telangana,District_108,2019,1164.95,25.02,131.19,148.11,3262983,657.03,643.12,0.0211
Central,Chhattisgarh,District_84,2014,846.63,34.5,119.36,99.89,2933338,256.28,236.56,0.0767
North,Uttar Pradesh,District_14,2020,1050.4,47.36,190.56,160.61,2430710,240.64,240.59,0.0002
South,Tamil Nadu,District_114,2020,1055.97,46.42,67.38,40.72,1086844,231.72,242.51,-0.0463
Central,Madhya Pradesh,District_1,2012,1388.32,42.12,236.24,187.72,134755,15.29,14.63,0.0406
West,Rajasthan,District_79,2010,659.97,2.21,341.37,295.89,1097097,51.66,39.13,0.2378
North,Uttarakhand,District_22,2003,775.4,37.28,133.47,145.46,3344435,513.07,479.83,0.0647
South,Tamil Nadu,District_64,2016,866.03,4.33,114.6,139.28,1145785,102.08,82.72,0.1878
Central,Madhya Pradesh,District_106,2010,1159.86,19.48,263.72,239.12,362983,42.56,24.22,0.4209
East,Assam,District_123,2023,1344.11,12.34,300.37,256.46,3096156,418.8,395.91,0.0545
Central,Madhya Pradesh,District_67,2005,910.66,42.62,128.29,144.74,648194,119.15,138.8,-0.1636
North,Uttarakhand,District_84,2009,1011.3,14.72,251.79,233.15,3140550,311.86,311.29,0.0018
West,Rajasthan,District_22,2013,499.42,39.02,185.38,141.29,1253515,153.84,162.32,-0.0547
South,Telangana,District_47,2012,837.19,49.11,241.19,231.14,1976386,270.94,272.43,-0.0055
South,Kerala,District_147,2007,880.55,19.28,194.54,202.47,1571510,204.34,230.96,-0.1296
North,Uttar Pradesh,District_6,2017,1048.76,42.28,268.65,226.9,47835,5.75,-38,6.4834
North,Himachal Pradesh,District_59,2002,1169.9,16.22,129.69,108.64,978292,111.77,71.15,0.3602
East,Assam,District_51,2008,1662.16,30.81,137.82,137.15,2175687,467.22,443.48,0.0507
South,Tamil Nadu,District_13,2012,1467.63,34.77,222.11,242.04,3273784,421.46,381.07,0.0956
North,Himachal Pradesh,District_110,2019,1512.31,36.17,153.08,127.16,1839190,162.63,120.74,0.256
West,Gujarat,District_39,2002,1186.49,14.78,145.99,160.18,734050,42.85,22.26,0.4696
South,Telangana,District_44,2018,943.62,12.56,148.18,167.81,2680528,117.64,118.87,-0.0104
East,West Bengal,District_4,2022,703.73,5.3,289.71,260.73,2681761,444.73,455.16,-0.0234
North,Haryana,District_112,2014,1161.17,24.05,259.71,254.14,2526101,348.08,315.91,0.0922
North,Punjab,District_31,2007,1176.39,15.05,321.96,272.07,1531660,268.87,243.77,0.093
West,Rajasthan,District_49,2008,1264.39,28.96,272.2,235.69,3249686,529.9,486.44,0.0818
South,Andhra Pradesh,District_127,2012,152.06,10.51,154.54,141.19,1272379,180.57,154.24,0.145
Central,Madhya Pradesh,District_111,2006,1075.07,3.06,212.69,238.35,407235,85.95,113.3,-0.3145
North,Himachal Pradesh,District_56,2009,1089.48,37.8,246.4,256.43,2087602,284.01,288.8,-0.0168
West,Rajasthan,District_108,2005,1097.94,23.74,177.67,204.48,301876,53,10.85,0.7806
East,Jharkhand,District_38,2000,816.33,16.2,107.72,97.48,2281243,483.07,468.21,0.0307
South,Andhra Pradesh,District_68,2007,1130.34,43.94,335.31,362.71,2986286,378.48,369.06,0.0248
North,Himachal Pradesh,District_116,2007,1174.02,8.67,325.26,280.96,3491370,278.35,259.71,0.0667
South,Telangana,District_150,2021,938.95,26.61,270.46,274.35,1781220,328.03,327.49,0.0016
East,Assam,District_22,2000,1008.38,17.34,194.34,212.59,2681414,536.43,543.04,-0.0123
North,Punjab,District_35,2010,933.86,34.84,220.54,195.87,1375855,91.06,52.43,0.4196
South,Kerala,District_55,2022,796.64,44.34,69.35,39.21,840787,69.06,84.71,-0.2234
South,Kerala,District_109,2023,1070.11,22.12,182.22,176.74,2243592,107.96,107.37,0.0054
North,Himachal Pradesh,District_66,2002,763.33,21.99,339.99,322.06,1861983,313.53,285.78,0.0882
East,West Bengal,District_143,2001,538.75,43.95,272.31,242.97,2003527,211.12,228.44,-0.0817
West,Maharashtra,District_86,2007,1085.64,25.98,270.33,293.67,2153256,311.15,316.45,-0.017
North,Punjab,District_91,2019,1034.03,36.6,349.17,358.42,468928,49.23,16.91,0.6434
North,Himachal Pradesh,District_12,2000,1073.35,48.22,331.18,348.13,2241599,422.51,411.61,0.0257
West,Gujarat,District_130,2019,714.73,20.31,342.15,371.7,1365619,98.17,124,-0.2605
South,Kerala,District_78,2012,580.64,42.82,224.21,243.93,3453018,154.46,167.64,-0.0847
South,Telangana,District_34,2017,678.63,15.75,85.55,46.78,1090439,188.13,199.92,-0.0623
West,Maharashtra,District_149,2005,923.99,26.18,297.08,296.69,603160,71.01,55.97,0.2089
West,Gujarat,District_44,2016,1047.84,21.61,107.26,94.52,2575282,417.04,372.24,0.1072
North,Punjab,District_87,2014,935.15,3.47,86.46,110.3,1107886,208.16,174.85,0.1592
Central,Madhya Pradesh,District_23,2010,1034.72,17.5,85.56,110.91,2464078,356.6,320.83,0.1
North,Haryana,District_111,2004,980.44,7.7,180.34,188.6,1219895,62.81,34.78,0.4393
West,Gujarat,District_30,2010,873.68,37.64,155.96,128.19,2691330,355.37,356.51,-0.0032
West,Maharashtra,District_33,2015,889.13,12.12,277.85,295.82,333629,48.72,77.77,-0.5841
West,Gujarat,District_93,2013,929.16,43.69,315.99,310.4,3087305,301.24,266.63,0.1145
South,Andhra Pradesh,District_68,2019,1156.57,45.34,318.56,283.86,2903967,636.73,622.07,0.023
West,Gujarat,District_133,2010,1088.76,18.82,167.84,139.91,28369,4.05,-19.42,4.6486
East,Jharkhand,District_43,2010,1100.55,39.32,138.74,157,3360858,452.53,417.52,0.0772
North,Punjab,District_39,2017,691.44,2.86,87.22,105.42,3152731,365.89,374.58,-0.0237
East,Assam,District_14,2006,748.85,45.4,113.58,89.07,3140723,430.16,394.42,0.0829
Central,Madhya Pradesh,District_14,2007,895.03,23.94,62.35,56.89,1069275,171.69,131.31,0.2338
South,Tamil Nadu,District_10,2015,599.96,6.12,154.97,149.44,475650,41.17,43.88,-0.0645
West,Gujarat,District_42,2022,875.2,12.55,161.32,117.17,1525369,121.6,133.96,-0.1008
East,Assam,District_112,2003,928.1,22.68,329.16,317.42,2984514,384.27,387.49,-0.0084
North,Punjab,District_11,2014,1061.84,3.96,161.71,137.14,1894638,102.69,130.86,-0.2717
South,Telangana,District_144,2015,1187.82,14.06,86.56,89.65,2044817,332.84,316.55,0.0488
East,Assam,District_127,2003,1230.46,36.02,317.97,325.44,2039108,230.34,252.99,-0.0979
Central,Madhya Pradesh,District_32,2011,902.86,48.82,100.17,102.9,1993596,367.18,342.53,0.0669
East,Bihar,District_53,2009,1170.96,34.27,349.43,368.33,1192377,81.07,66.89,0.1728
South,Tamil Nadu,District_44,2023,514.06,8.49,250.24,215.94,769769,166.79,135.69,0.1854
North,Haryana,District_70,2018,658.21,13.63,318.32,275.16,939061,148.54,166.12,-0.1176
North,Uttarakhand,District_55,2018,435.99,22.88,243.13,242.3,778001,153.17,147.74,0.0352
North,Uttar Pradesh,District_135,2018,1275.45,17.1,94.63,99.81,3031032,666.44,652.21,0.0213
South,Tamil Nadu,District_107,2002,638.5,34.7,257.9,220.28,2270888,180.86,160.95,0.1095
South,Karnataka,District_128,2021,987.67,21.85,164.85,135.82,129919,19.64,10.77,0.43
East,West Bengal,District_85,2000,1086.92,38.54,284.06,237.27,1633859,128.38,132.58,-0.0324
South,Andhra Pradesh,District_32,2012,79.29,38.06,141.75,154.22,1525067,183.53,171.41,0.0657
South,Telangana,District_28,2010,1452.47,2.02,93.13,93.12,2572305,385.55,384.04,0.0039
Central,Madhya Pradesh,District_8,2002,986.43,30.65,63.11,22.73,1438932,226.3,253.02,-0.1176
East,Assam,District_123,2014,1030.61,23.15,251.42,203.14,2748795,277.19,280.83,-0.0131
West,Gujarat,District_2,2010,744.82,44.81,166.8,138.85,3091265,663.26,628.62,0.0521
West,Maharashtra,District_116,2010,616.15,11.8,268.74,275.61,3144747,502.67,512.24,-0.019
North,Uttarakhand,District_34,2006,798.8,4.43,308.95,334.96,418365,34.72,-1.85,1.0239
West,Maharashtra,District_73,2010,832.13,17.98,115.62,88.38,3066045,438.32,411.8,0.0604
West,Maharashtra,District_19,2017,720.04,9.88,80.56,84.96,587959,129.13,126.8,0.0179
North,Himachal Pradesh,District_98,2002,1031.76,36.86,261.09,274.73,480196,76.56,68.6,0.1026
South,Kerala,District_66,2005,1125.6,49.15,198.1,215.13,3457498,171.27,195.39,-0.14
South,Karnataka,District_103,2002,574.7,3,167.54,137.88,3068316,457.34,465.68,-0.0182
North,Uttar Pradesh,District_54,2005,1064.59,39.22,212.2,219.44,3467674,254.87,263.14,-0.0323
South,Kerala,District_104,2009,1063.82,10.83,255.52,230.62,729014,124.84,107.14,0.1407
Central,Madhya Pradesh,District_31,2009,899.57,22.4,164.44,165.51,1645329,105.07,104.65,0.0039
North,Punjab,District_111,2023,904.95,12.91,130.84,89.44,2101212,415.76,417.88,-0.0051
South,Andhra Pradesh,District_34,2011,1150.1,21.59,293.99,289.57,3217442,300.79,294.61,0.0205
East,West Bengal,District_95,2016,945.36,35.18,130.36,117.57,450157,38.9,65.91,-0.6772
West,Rajasthan,District_126,2014,649.61,41.42,165.52,165.66,3388476,434.08,397.71,0.0836
South,Kerala,District_122,2008,1304.57,30.33,129.79,114.33,424853,82.16,47.07,0.422
North,Uttarakhand,District_109,2002,1230.16,30.69,118.85,114.59,2515341,121.79,128.45,-0.0543
East,Jharkhand,District_95,2019,1249.62,12.67,93.9,111.57,2488984,375.74,336.5,0.1042
South,Tamil Nadu,District_112,2020,901.94,23.9,178.96,142.11,3293490,713.71,672.87,0.0571
East,Jharkhand,District_24,2001,641.44,10.16,341.88,296.23,2437685,186.9,168.41,0.0984
North,Haryana,District_88,2014,590.4,30.83,258.61,251.28,3361201,537.89,527.39,0.0195
South,Karnataka,District_40,2015,1136.61,20.84,112.73,94.63,569358,30.59,19.1,0.3637
North,Haryana,District_135,2002,680.52,24.38,60.98,58.84,1159684,136.26,131.97,0.0313
South,Andhra Pradesh,District_120,2013,800.69,25.98,251.2,243.92,2730487,245.83,238.81,0.0284
East,Bihar,District_123,2009,436.66,35.62,96.68,122.44,432933,53.45,23.65,0.5474
Central,Madhya Pradesh,District_33,2021,772.87,37.12,110.6,121.66,305678,33.84,26.37,0.2146
South,Andhra Pradesh,District_64,2016,1438.95,36.14,169.51,166.43,2808006,153.78,144.27,0.0614
East,Jharkhand,District_76,2018,980.08,42.3,94.5,115.48,614881,103.08,60.26,0.4115
West,Maharashtra,District_142,2002,999.91,9.59,75.22,58.89,422039,61.39,54.35,0.1128
West,Maharashtra,District_132,2003,929.26,16.93,166.89,171.25,1583340,267.04,223.91,0.1609
North,Haryana,District_109,2013,814.04,17.68,167.75,166.18,3064975,263.73,289.52,-0.0974
East,West Bengal,District_119,2021,1063.72,45.73,153.5,149.41,851301,185.52,162.27,0.1247
North,Uttarakhand,District_65,2011,227.09,26.89,154.14,134.33,903368,109.83,96.91,0.1166
West,Gujarat,District_150,2002,1024.21,11.7,259.83,274.88,2622005,306.2,330.78,-0.08
North,Haryana,District_5,2003,968.49,7.55,208.17,198.39,2753641,410.94,380.31,0.0743
East,Assam,District_46,2005,1141.76,37.95,118.86,79.88,3216005,255.41,280.37,-0.0973
South,Kerala,District_12,2002,913.31,13.43,221.31,222.97,1285664,55.62,39.99,0.276
East,Jharkhand,District_77,2010,1369.95,25.59,116.85,67.19,2926217,347.36,358.66,-0.0324
North,Uttarakhand,District_117,2021,679.44,43.2,132.68,133.76,3484028,451.92,452.18,-0.0006
East,Assam,District_68,2010,1004.03,47.04,208.02,200.62,2417611,384.1,343.86,0.1045
South,Tamil Nadu,District_55,2005,938.74,13.27,307.73,280.04,1280598,275.14,281.24,-0.0221
East,Bihar,District_67,2021,519.76,9.7,208.16,207.13,1722454,262.72,232.9,0.1131
East,West Bengal,District_112,2017,793.96,39.7,125.35,137.97,1586130,108.45,133.13,-0.2255
North,Uttar Pradesh,District_2,2012,299.08,2.47,148.74,147.35,3431046,170.95,194.62,-0.1377
East,West Bengal,District_4,2005,782.61,17.81,227.91,209.72,1366849,83.61,68.59,0.1775
North,Punjab,District_118,2022,802.35,21.67,321.89,278.93,2573514,439.51,442.43,-0.0066
South,Kerala,District_125,2009,1472.05,31.78,264.45,287.86,786736,119.47,136.02,-0.1373
North,Himachal Pradesh,District_93,2022,1070.14,12.13,61.85,35,1132093,145.84,171.11,-0.1721
South,Kerala,District_78,2002,684.34,30.98,213.62,165.02,2598262,230.16,192.55,0.1627
Central,Madhya Pradesh,District_35,2000,1052.19,4.27,251.61,278.16,2829084,535.53,498.52,0.069
West,Rajasthan,District_29,2000,837.2,26.17,138.77,120.27,338904,20.06,40.27,-0.96
West,Rajasthan,District_7,2006,847.5,4.99,85.42,80.86,2388174,240.71,256.29,-0.0645
North,Punjab,District_38,2020,746.94,49.13,86.76,96.01,190666,10.57,-22.62,2.8691
South,Karnataka,District_112,2020,627.03,18.23,123.29,83.58,3307867,236.4,219.44,0.0714
Central,Chhattisgarh,District_49,2002,739.11,46.17,177.44,160.15,2790939,243.31,205.14,0.1562
South,Andhra Pradesh,District_119,2004,859.08,47.61,138.05,107.72,2135688,131.49,140.86,-0.0707
North,Punjab,District_109,2000,712.1,27.1,226.06,233.52,379485,81.99,50.27,0.3822
East,West Bengal,District_43,2004,987.56,22.92,215.62,223.26,2745918,490.2,510.04,-0.0404
East,Assam,District_125,2015,1399.08,8.49,233.37,199.46,1664291,219.79,186.92,0.1489
North,Uttar Pradesh,District_116,2018,753.19,49.3,112.58,87.27,2503638,410.87,373.14,0.0916
South,Karnataka,District_52,2009,650.11,31.95,261.77,266.02,2984841,580.35,565.02,0.0264
North,Uttarakhand,District_101,2001,1162.47,10.09,182.24,137.98,1484740,78.13,87.98,-0.1245
East,Odisha,District_3,2003,932.95,38,145.71,115.07,3222580,648.39,646.45,0.003
East,Jharkhand,District_107,2015,563.3,39.91,128.63,82.72,1559016,288.98,304.62,-0.0539
North,Uttarakhand,District_142,2009,905.67,4.24,349.18,319.59,506564,51.87,32.12,0.3735
West,Maharashtra,District_125,2012,1015.16,25.14,274.19,227.29,1457026,223.79,197,0.1191
North,Punjab,District_132,2018,1092.38,20.82,80.23,94.06,265942,53.7,28.06,0.4687
North,Himachal Pradesh,District_125,2007,574.86,48.66,233.73,244.39,2190807,357.31,315.53,0.1166
West,Maharashtra,District_136,2000,792.17,7.41,204.73,232.58,2173505,172.56,194.49,-0.1264
East,Jharkhand,District_148,2010,1145.93,39.7,92.62,64.69,885376,47.11,16.15,0.6434
Central,Chhattisgarh,District_17,2008,486.66,44.94,73.12,86.98,417860,91.89,114.43,-0.2426
East,Jharkhand,District_122,2003,1024.56,26.31,306.31,312.25,1736894,347.97,355.11,-0.0205
North,Punjab,District_89,2014,1256.2,39.85,348.48,314.22,3288438,703.23,716.04,-0.0182
East,Jharkhand,District_6,2005,1124.55,8.9,324.74,301.22,2102444,352.72,377.08,-0.0689
South,Andhra Pradesh,District_50,2015,696.19,47.6,158.24,131.18,141164,16.21,1.62,0.848
South,Telangana,District_113,2007,803.43,22.16,104.37,96.81,2111530,196.82,174.9,0.1108
North,Haryana,District_57,2018,1087.26,15.73,233.88,186.65,1192798,218.65,242.33,-0.1078
East,Odisha,District_120,2004,588.87,27.19,120.58,145.21,33262,3.54,-8.79,2.714
South,Andhra Pradesh,District_100,2013,949.29,4.03,247.94,268.53,503594,106.01,121.54,-0.1452
South,Telangana,District_121,2005,715.16,45.48,75.5,80.83,269745,40.05,19.18,0.5084
North,Himachal Pradesh,District_54,2009,981.85,29.62,299.14,250.18,1635618,310.01,302.56,0.024
East,Bihar,District_124,2004,1017.7,35.69,224.41,207.37,3211343,395.56,419.7,-0.0609
South,Tamil Nadu,District_52,2005,1285.28,47.75,339.29,324.83,774950,85.7,73.74,0.1379
North,Himachal Pradesh,District_126,2003,619.34,27.36,238.63,193.26,3192500,605.32,620.95,-0.0258
East,Jharkhand,District_127,2009,857.22,45.46,211.05,162.86,1916508,343.77,349.65,-0.017
South,Karnataka,District_54,2017,315.02,40.63,110.42,100.99,2321955,446.1,469.9,-0.0532
West,Maharashtra,District_5,2011,554.95,7.57,318.93,297.76,1657767,82.99,95.49,-0.1489
West,Gujarat,District_92,2021,1064.1,32.39,135.37,150.15,3427362,364.45,342.29,0.0606
South,Tamil Nadu,District_45,2016,1037.23,44.48,141.7,120.22,662404,70.23,79.81,-0.1345
West,Maharashtra,District_17,2010,970.89,23.8,294.07,287.56,211382,31.58,4.65,0.8264
East,Jharkhand,District_30,2019,1003.6,4.75,230.86,214.17,717081,31.67,37.99,-0.1933
South,Karnataka,District_31,2017,884.76,10.87,330.15,306.59,2014379,433.13,425.85,0.0168
South,Karnataka,District_125,2008,706.33,12.7,265.49,292.26,2505326,339.26,367.32,-0.0825
East,Odisha,District_91,2001,731.99,25.1,125.31,122.24,1825173,325.85,337.7,-0.0363
Central,Chhattisgarh,District_69,2004,1539.86,45.26,244.48,231.55,552240,99.92,79.6,0.2014
North,Haryana,District_27,2022,1508.52,30.71,115.72,128.07,2048267,196.04,194.04,0.0102
West,Maharashtra,District_113,2014,1293.23,15.55,112.81,96.2,3266475,704.67,716.68,-0.017
East,West Bengal,District_28,2019,778.35,43.39,240.33,204.95,954367,106.75,87.78,0.1761
North,Himachal Pradesh,District_27,2017,1028.5,10.65,172.09,183.05,2557160,483.04,455.37,0.0572
West,Maharashtra,District_130,2003,775.28,15.52,64.15,84.7,1531405,233.27,193.71,0.1688
South,Tamil Nadu,District_31,2006,605.11,10.62,254.25,251.65,292460,24.47,15.04,0.3702
South,Telangana,District_41,2023,800.92,13.21,294.32,293.37,2975984,282.35,295.73,-0.0472
South,Andhra Pradesh,District_114,2016,1123.71,32.35,133.8,94.87,2856419,409.18,401.09,0.0197
North,Punjab,District_26,2004,1025.64,42.29,311.07,299.29,2181878,333.92,298.03,0.1072
South,Telangana,District_86,2004,411.04,27.55,85.04,96.62,2620574,492.87,478.36,0.0294
East,West Bengal,District_52,2014,1149.64,49.87,288.19,296.3,2906572,173.38,154.31,0.1093
East,Jharkhand,District_2,2007,730.3,15.36,177.15,142.64,3488024,277.11,242.41,0.1248
North,Punjab,District_88,2009,1566.99,44.9,134.28,130.64,2640780,503.57,482.48,0.0418
North,Haryana,District_44,2002,444.96,12.76,253.62,210.58,2047122,280.63,246.53,0.1211
West,Gujarat,District_96,2022,1261.99,5.9,304.67,311.21,2414976,450.98,413.67,0.0825
East,Jharkhand,District_93,2020,799.5,49.54,189.68,146.33,556427,54.66,65.73,-0.1988
South,Karnataka,District_39,2016,1556.34,15.39,335.25,336.51,2912167,582.48,556.03,0.0453
East,Jharkhand,District_59,2004,667.87,31.59,180.68,170.44,1025405,127.26,142.94,-0.1222
East,Jharkhand,District_106,2013,509.13,26.99,163.27,170.02,2882876,343.12,306.63,0.1061
East,Assam,District_133,2021,1142.39,24.62,60.53,63.29,2987290,137.63,126.29,0.0818
South,Telangana,District_8,2014,1237.93,48.54,344.56,352.02,2431232,124.81,89.31,0.2822
Central,Madhya Pradesh,District_3,2022,347.89,7.41,334.56,322.14,3027329,572.97,597.16,-0.0421
North,Haryana,District_18,2002,1229.5,30.77,127.54,136.42,645856,79.36,47.37,0.3981
East,Odisha,District_81,2012,466.69,49.2,148.13,152.23,1883554,120.13,86.43,0.2783
South,Tamil Nadu,District_112,2001,765.48,47,140.32,143.65,1446781,155.54,177.18,-0.1382
South,Kerala,District_10,2021,1282.13,23.06,185.26,170.72,2746158,447.87,473.23,-0.0565
Central,Madhya Pradesh,District_148,2001,789.57,24.55,137.25,91.41,2263474,210.78,213.7,-0.0138
North,Haryana,District_76,2013,530.85,46.18,226.72,183.12,2187916,315.07,290.29,0.0784
South,Kerala,District_142,2009,1068.26,21.13,79.23,90.9,1102963,130.71,151.89,-0.1608
East,Odisha,District_89,2000,1226.23,31.91,273.66,275.73,280232,59.27,30.49,0.4774
